Category,Specialty Area,Work Role,Competency Grouping,Competency ID,Competency,KSA ID,KSA
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Technical,C013,Data Management,S0063,Skill in collecting data from a variety of cyber defense resources.
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Technical,C013,Data Management,K0377,"Knowledge of classification and control markings standards, policies and procedures."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Ops Planner (CO-OPL-002),Technical,C013,Data Management,K0377,"Knowledge of classification and control markings standards, policies and procedures."
Collect and Operate (CO),Cyber Operational Planning (OPL),Partner Integration Planner (CO-OPL-003),Technical,C013,Data Management,K0377,"Knowledge of classification and control markings standards, policies and procedures."
Collect and Operate (CO),Cyber Operational Planning (OPL),Cyber Intel Planner (CO-OPL-001),Technical,C013,Data Management,K0602,Knowledge of collection disciplines and capabilities.
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C013,Data Management,K0142,"Knowledge of collection management processes, capabilities, and limitations."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C013,Data Management,S0202,"Skill in data mining techniques (e.g., searching file systems) and analysis."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C013,Data Management,S0295,"Skill in using various open source data collection tools (online trade, DNS, mail, etc.)."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,K0020,Knowledge of data administration and data standardization policies.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C013,Data Management,K0020,Knowledge of data administration and data standardization policies.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,K0022,Knowledge of data mining and data warehousing principles.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C013,Data Management,K0022,Knowledge of data mining and data warehousing principles.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,K0083,"Knowledge of sources, characteristics, and uses of the organization’s data assets."
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C013,Data Management,K0083,"Knowledge of sources, characteristics, and uses of the organization’s data assets."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,K0095,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines)."
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C013,Data Management,K0097,Knowledge of the characteristics of physical and virtual data storage media.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,S0028,Skill in developing data dictionaries.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,S0106,"Skill in data pre-processing (e.g., imputation, dimensionality reduction, normalization, transformation, extraction, filtering, smoothing)."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,S0113,Skill in performing format conversions to create a standard representation of the data.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,S0126,"Skill in using data analysis tools (e.g., Excel, STATA SAS, SPSS)."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,S0127,Skill in using data mapping tools.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,S0202,"Skill in data mining techniques (e.g., searching file systems) and analysis."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C013,Data Management,S0369,"Skill to identify sources, characteristics, and uses of the organization’s data assets."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C013,Data Management,K0142,"Knowledge of collection management processes, capabilities, and limitations."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C013,Data Management,K0418,Knowledge of data flow process for terminal or environment collection.
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C013,Data Management,K0484,"Knowledge of midpoint collection (process, objectives, organization, targets, etc.)."
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C013,Data Management,S0200,Skill in creating collection requirements in support of data acquisition activities.
Analyze (AN),Exploitation Analysis (EXP),Exploitation Analyst (AN-EXP-001),Technical,C013,Data Management,S0240,Skill in interpreting metadata and content as applied by collection systems.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C013,Data Management,K0095,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines)."
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C013,Data Management,K0195,Knowledge of data classification standards and methodologies based on sensitivity and other risk factors.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C013,Data Management,K0338,Knowledge of data mining techniques.
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Technical,C013,Data Management,K0377,"Knowledge of classification and control markings standards, policies and procedures."
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Technical,C013,Data Management,K0391,"Knowledge of collection systems, capabilities, and processes. "
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Technical,C013,Data Management,K0567,Knowledge of the data flow from collection origin to repositories and tools. 
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Technical,C013,Data Management,S0215,Skill in evaluating and interpreting metadata.
Analyze (AN),Language Analysis (LNG),Multi-Disciplined Language Analyst (AN-LNG-001),Technical,C013,Data Management,S0217,"Skill in evaluating data sources for relevance, reliability, and objectivity."
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C013,Data Management,S0240,Skill in interpreting metadata and content as applied by collection systems.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C013,Data Management,S0305,Skill to access the databases where plans/directives/guidance are maintained.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C013,Data Management,S0325,Skill to develop a collection plan that clearly shows the discipline that can be used to collect the information needed.
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C013,Data Management,K0142,"Knowledge of collection management processes, capabilities, and limitations."
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C013,Data Management,K0389,Knowledge of collection sources including conventional and non-conventional sources.
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C013,Data Management,K0567,Knowledge of the data flow from collection origin to repositories and tools. 
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C013,Data Management,S0217,"Skill in evaluating data sources for relevance, reliability, and objectivity."
Analyze (AN),Targets (TGT),Target Developer (AN-TGT-001),Technical,C013,Data Management,S0287,Skill in using geospatial data and applying geospatial resources.
Analyze (AN),Targets (TGT),Target Network Analyst (AN-TGT-002),Technical,C013,Data Management,S0287,Skill in using geospatial data and applying geospatial resources.
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Analyze (AN),Threat Analysis (TWA),Threat/Warning Analyst (AN-TWA-001),Technical,C013,Data Management,K0377,"Knowledge of classification and control markings standards, policies and procedures."
Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),Technical,C013,Data Management,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Operate and Maintain (OM),Customer Service and Technical Support (STS),Technical Support Specialist (OM-STS-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Operate and Maintain (OM),Customer Service and Technical Support (STS),Technical Support Specialist (OM-STS-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Operate and Maintain (OM),Customer Service and Technical Support (STS),Technical Support Specialist (OM-STS-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C014,Data Privacy and Protection,A0163,"Ability to interpret Communications Security (COMSEC) terminology, guidelines and procedures."
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C014,Data Privacy and Protection,A0164,Ability to identify the roles and responsibilities for appointed Communications Security (COMSEC) personnel.
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C014,Data Privacy and Protection,A0165,"Ability to manage Communications Security (COMSEC) material accounting, control and use procedure."
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C014,Data Privacy and Protection,A0167,Ability to recognize the importance of auditing Communications Security (COMSEC) material and accounts.
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C014,Data Privacy and Protection,A0168,Ability to Identify the requirements of In-Process accounting for Communications Security (COMSEC).
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Operational,C014,Data Privacy and Protection,A0177,Ability to recognize the unique aspects of the Communications Security (COMSEC) environment and hierarchy.
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Operational,C014,Data Privacy and Protection,A0110,Ability to monitor advancements in information privacy laws to ensure organizational adaptation and compliance.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Operational,C014,Data Privacy and Protection,A0111,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives. "
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Operational,C014,Data Privacy and Protection,A0115,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives."
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Operational,C014,Data Privacy and Protection,A0125,Ability to author a privacy disclosure statement based on current laws.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Operational,C014,Data Privacy and Protection,K0066,Knowledge of Privacy Impact Assessments.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),Operational,C014,Data Privacy and Protection,K0615,Knowledge of privacy disclosure statements based on current laws.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Operational,C014,Data Privacy and Protection,K0615,Knowledge of privacy disclosure statements based on current laws.
Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),Operational,C014,Data Privacy and Protection,S0354,Skill in creating policies that reflect the business’s core privacy objectives.
Operate and Maintain (OM),Network Services (NET),Network Operations Specialist (OM-NET-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Operate and Maintain (OM),Network Services (NET),Network Operations Specialist (OM-NET-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Operate and Maintain (OM),Network Services (NET),Network Operations Specialist (OM-NET-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Risk Management (RSK),Authorizing Official (SP-RSK-001),Operational,C014,Data Privacy and Protection,A0111,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives. "
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C014,Data Privacy and Protection,A0111,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives. "
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C014,Data Privacy and Protection,A0115,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives."
Securely Provision (SP),Risk Management (RSK),Authorizing Official (SP-RSK-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Risk Management (RSK),Authorizing Official (SP-RSK-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Risk Management (RSK),Authorizing Official (SP-RSK-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Operational,C014,Data Privacy and Protection,S0374,Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.
Securely Provision (SP),Software Development (DEV),Secure Software Assessor (SP-DEV-002),Operational,C014,Data Privacy and Protection,K0066,Knowledge of Privacy Impact Assessments.
Securely Provision (SP),Software Development (DEV),Software Developer (SP-DEV-001),Operational,C014,Data Privacy and Protection,K0066,Knowledge of Privacy Impact Assessments.
Securely Provision (SP),Software Development (DEV),Secure Software Assessor (SP-DEV-002),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Software Development (DEV),Software Developer (SP-DEV-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Software Development (DEV),Secure Software Assessor (SP-DEV-002),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Software Development (DEV),Software Developer (SP-DEV-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Software Development (DEV),Secure Software Assessor (SP-DEV-002),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Software Development (DEV),Software Developer (SP-DEV-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Operate and Maintain (OM),Systems Administration (ADM),System Administrator (OM-ADM-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Operate and Maintain (OM),Systems Administration (ADM),System Administrator (OM-ADM-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Operate and Maintain (OM),Systems Administration (ADM),System Administrator (OM-ADM-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Operate and Maintain (OM),Systems Analysis (ANA),Systems Security Analyst (OM-ANA-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Operate and Maintain (OM),Systems Analysis (ANA),Systems Security Analyst (OM-ANA-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Operate and Maintain (OM),Systems Analysis (ANA),Systems Security Analyst (OM-ANA-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Systems Architecture (ARC),Security Architect (SP-ARC-002),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Systems Architecture (ARC),Security Architect (SP-ARC-002),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Systems Architecture (ARC),Security Architect (SP-ARC-002),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Systems Architecture (ARC),Enterprise Architect (SP-ARC-001),Operational,C014,Data Privacy and Protection,S0374,Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.
Securely Provision (SP),Systems Architecture (ARC),Security Architect (SP-ARC-002),Operational,C014,Data Privacy and Protection,S0374,Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Operational,C014,Data Privacy and Protection,K0066,Knowledge of Privacy Impact Assessments.
Securely Provision (SP),Systems Development (SYS),Systems Developer (SP-SYS-002),Operational,C014,Data Privacy and Protection,K0066,Knowledge of Privacy Impact Assessments.
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Systems Development (SYS),Systems Developer (SP-SYS-002),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Systems Development (SYS),Systems Developer (SP-SYS-002),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Systems Development (SYS),Information Systems Security Developer (SP-SYS-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Systems Development (SYS),Systems Developer (SP-SYS-002),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Securely Provision (SP),Systems Requirements Planning (SRP),Systems Requirements Planner (SP-SRP-001),Operational,C014,Data Privacy and Protection,K0066,Knowledge of Privacy Impact Assessments.
Securely Provision (SP),Test and Evaluation (TST),System Test & Evaluation Specialist (SP-TST-001),Operational,C014,Data Privacy and Protection,K0260,Knowledge of Personally Identifiable Information (PII) data security standards.
Securely Provision (SP),Test and Evaluation (TST),System Test & Evaluation Specialist (SP-TST-001),Operational,C014,Data Privacy and Protection,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Securely Provision (SP),Test and Evaluation (TST),System Test & Evaluation Specialist (SP-TST-001),Operational,C014,Data Privacy and Protection,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C015,Database Administration,K0364,Knowledge of available databases and tools necessary to assess appropriate collection tasking.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C015,Database Administration,K0364,Knowledge of available databases and tools necessary to assess appropriate collection tasking.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Manager (CO-CLO-001),Technical,C015,Database Administration,K0419,Knowledge of database administration and maintenance.
Collect and Operate (CO),Collection Operations (CLO),All Source-Collection Requirements Manager (CO-CLO-002),Technical,C015,Database Administration,K0419,Knowledge of database administration and maintenance.
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C015,Database Administration,K0373,"Knowledge of basic software applications (e.g., data storage and backup, database applications) and the types of vulnerabilities that have been found in those applications."
Collect and Operate (CO),Cyber Operations (OPS),Cyber Operator (CO-OPS-001),Technical,C015,Database Administration,K0420,Knowledge of database theory.
Oversee and Govern (OV),Cybersecurity Management (MGT),Communications Security (COMSEC) Manager (OV-MGT-002),Technical,C015,Database Administration,K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
Oversee and Govern (OV),Cybersecurity Management (MGT),Information Systems Security Manager (OV-MGT-001),Technical,C015,Database Administration,K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C015,Database Administration,A0176,"Ability to maintain databases. (i.e., backup, restore, delete data, transaction log files, etc.)."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C015,Database Administration,K0193,Knowledge of advanced data remediation security features in databases.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C015,Database Administration,K0278,Knowledge of current and emerging data remediation security features in databases.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C015,Database Administration,K0420,Knowledge of database theory.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C015,Database Administration,K0420,Knowledge of database theory.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C015,Database Administration,S0002,Skill in allocating storage capacity in the design of data management systems.
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C015,Database Administration,S0042,"Skill in maintaining databases. (i.e., backup, restore, delete data, transaction log files, etc.)."
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C015,Database Administration,S0045,Skill in optimizing database performance.
Operate and Maintain (OM),Knowledge Management (KMG),Knowledge Manager (OM-KMG-001),Technical,C015,Database Administration,K0420,Knowledge of database theory.
Operate and Maintain (OM),Network Services (NET),Network Operations Specialist (OM-NET-001),Technical,C015,Database Administration,K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
Securely Provision (SP),Risk Management (RSK),Authorizing Official (SP-RSK-001),Technical,C015,Database Administration,K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
Securely Provision (SP),Risk Management (RSK),Security Control Assessor (SP-RSK-002),Technical,C015,Database Administration,K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
Securely Provision (SP),Systems Requirements Planning (SRP),Systems Requirements Planner (SP-SRP-001),Technical,C015,Database Administration,K0622,"Knowledge of controls related to the use, processing, storage, and transmission of data."
Analyze (AN),All-Source Analysis (ASA),Mission Assessment Specialist (AN-ASA-002),Technical,C016,Database Management Systems,S0292,Skill in using targeting databases and software packages.
Protect and Defend (PR),Cyber Defense Analysis (CDA),Cyber Defense Analyst (PR-CDA-001),Technical,C016,Database Management Systems,K0024,Knowledge of database systems.
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C016,Database Management Systems,K0023,"Knowledge of database management systems, query languages, table relationships, and views."
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C016,Database Management Systems,K0023,"Knowledge of database management systems, query languages, table relationships, and views."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C016,Database Management Systems,K0069,Knowledge of query languages such as SQL (structured query language).
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C016,Database Management Systems,K0069,Knowledge of query languages such as SQL (structured query language).
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C016,Database Management Systems,K0197,"Knowledge of database access application programming interfaces (e.g., Java Database Connectivity [JDBC])."
Operate and Maintain (OM),Data Administration (DTA),Database Administrator (OM-DTA-001),Technical,C016,Database Management Systems,K0197,"Knowledge of database access application programming interfaces (e.g., Java Database Connectivity [JDBC])."
Operate and Maintain (OM),Data Administration (DTA),Data Analyst (OM-DTA-002),Technical,C016,Database Management Systems,S0013,Skill in conducting queries and developing algorithms to analyze data structures.
